entrez_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
107987008,LOC107987008,13.81845126,-1.182415052,0.237856086,-4.971136429,6.66E-07,3.77E-05
64333,ARHGAP9,316.7182637,0.653990252,0.131602151,4.969449552,6.71E-07,3.79E-05
8714,ABCC3,37.02221718,0.834627735,0.16801788,4.967493555,6.78E-07,3.82E-05
105371348,LOC105371348,31.60874505,-0.789117295,0.158896829,-4.96622431,6.83E-07,3.83E-05
26524,LATS2,208.9836753,0.655858582,0.132151409,4.962932961,6.94E-07,3.88E-05
693155,MIR570,9.792495208,0.932526063,0.188336206,4.951390294,7.37E-07,4.06E-05
6863,TAC1,82.70199366,-1.284387427,0.259713278,-4.945405316,7.60E-07,4.16E-05
7857,SCG2,1387.952437,-0.793847328,0.16060191,-4.942950721,7.69E-07,4.18E-05
10370,CITED2,299.9714711,-0.66132113,0.133879838,-4.939661866,7.83E-07,4.23E-05
7040,TGFB1,694.7426502,0.612002781,0.123912308,4.938999138,7.85E-07,4.23E-05
122553,TRAPPC6B,980.95059,-0.52532452,0.106453805,-4.934765097,8.02E-07,4.31E-05
91977,MYOZ3,46.75055744,-0.686101419,0.139090869,-4.932756706,8.11E-07,4.35E-05
64926,RASAL3,214.2471155,0.635323264,0.128865544,4.930125179,8.22E-07,4.40E-05
165904,XIRP1,2.564882169,-1.714607441,0.348373225,-4.921754369,8.58E-07,4.48E-05
105379452,LOC105379452,15.2996844,-1.143841162,0.232402383,-4.921813392,8.57E-07,4.48E-05
10411,RAPGEF3,4077.657894,0.513425517,0.10429476,4.922831392,8.53E-07,4.48E-05
7408,VASP,611.1625558,0.50436928,0.102593482,4.916192253,8.82E-07,4.59E-05
85474,LBX2,8.049903712,1.135634254,0.231142124,4.91314276,8.96E-07,4.64E-05
4885,NPTX2,1246.088103,-0.801686943,0.163263253,-4.910394288,9.09E-07,4.69E-05
105373230,NA,76.86340061,-0.71209094,0.145145325,-4.906054935,9.29E-07,4.77E-05
100132967,FAM223A,5.241749326,0.749309254,0.152761498,4.905092346,9.34E-07,4.78E-05
5724,PTAFR,342.4551803,0.740237538,0.150931564,4.904458157,9.37E-07,4.79E-05
6588,SLN,16.89891409,-1.129246964,0.230417235,-4.900878906,9.54E-07,4.82E-05
57530,CGN,258.4302916,0.518208047,0.105844832,4.895922033,9.78E-07,4.90E-05
105376043,LOC105376043,14.58305548,-1.136259829,0.23208001,-4.895983194,9.78E-07,4.90E-05
11027,LILRA2,121.7554135,0.695655275,0.14208137,4.896175159,9.77E-07,4.90E-05
126326,GIPC3,75.3707099,0.723699118,0.14788991,4.89349895,9.91E-07,4.94E-05
1174,AP1S1,1668.398306,-0.571808239,0.116996616,-4.887391263,1.02E-06,5.05E-05
64857,PLEKHG2,276.3866915,0.62189121,0.127502682,4.877475525,1.07E-06,5.23E-05
7100,TLR5,188.5222774,0.839343646,0.172244463,4.872978981,1.10E-06,5.31E-05
29964,PRICKLE4,275.2224811,0.561904287,0.115386644,4.869751531,1.12E-06,5.36E-05
6329,SCN4A,7.623588724,1.012438829,0.207897924,4.86988426,1.12E-06,5.36E-05
3092,HIP1,2605.893358,0.55904389,0.114830835,4.868412634,1.12E-06,5.38E-05
493829,TRIM72,39.15673796,-0.682367761,0.140250988,-4.865333002,1.14E-06,5.44E-05
6692,SPINT1,33.26598789,0.640014331,0.131584296,4.863911189,1.15E-06,5.47E-05
85450,ITPRIP,398.5660454,0.616197791,0.126784847,4.860184844,1.17E-06,5.56E-05
55911,APOBR,116.4351944,0.618008203,0.127175462,4.85949248,1.18E-06,5.57E-05
101929746,ZNF341-AS1,4.903922281,0.937665051,0.193350568,4.84955934,1.24E-06,5.81E-05
340542,BEX5,762.3440813,-0.816599082,0.168576641,-4.84408205,1.27E-06,5.93E-05
84707,BEX2,2247.459317,-0.579080171,0.119558384,-4.843492806,1.28E-06,5.93E-05
100129055,CCNYL4,2.245612173,-1.250744748,0.258436632,-4.839657366,1.30E-06,6.03E-05
1296,COL8A2,158.5076792,0.780037782,0.161219091,4.83837105,1.31E-06,6.06E-05
56341,PRMT8,306.5088246,-0.893441073,0.18486579,-4.832917302,1.35E-06,6.19E-05
2118,ETV4,77.47844707,0.959156226,0.198678512,4.827679724,1.38E-06,6.32E-05
951,CD37,383.6269965,0.650216489,0.134782475,4.824191653,1.41E-06,6.38E-05
2701,GJA4,327.7732916,0.871777912,0.180886744,4.819468198,1.44E-06,6.45E-05
441631,TSPAN11,425.192019,0.593193773,0.123059319,4.820388864,1.43E-06,6.45E-05
81691,REXO5,60.96921678,-0.510659585,0.105945291,-4.82003096,1.44E-06,6.45E-05
105371492,CTNS-AS1,119.9186463,0.521502442,0.10820153,4.819732611,1.44E-06,6.45E-05
107985693,NA,8.969475354,-0.692479861,0.143682339,-4.819519681,1.44E-06,6.45E-05
9308,CD83,513.8011466,-0.562815247,0.116957965,-4.81211559,1.49E-06,6.62E-05
107987098,NA,22.69626262,0.670552609,0.139355333,4.81181877,1.50E-06,6.62E-05
4038,LRP4,5480.929362,0.545153161,0.113308456,4.811231051,1.50E-06,6.62E-05
55055,ZWILCH,105.7331584,-0.521120044,0.108406209,-4.80710512,1.53E-06,6.72E-05
201232,SLC16A13,23.1989534,0.597922698,0.124397522,4.806548298,1.54E-06,6.73E-05
105379127,LOC105379127,12.16533194,1.058110856,0.220158873,4.806124059,1.54E-06,6.73E-05
